"Geo_Code","Prov_Name","CSD_Name","total_pop","median_income","female_ratio","0_14y_ratio","15_24y_ratio","25_44y_ratio","45_over_ratio","non_movers_ratio","trade_cert_ratio","non_uni_dip_ratio","uni_dip_ratio","total_postsec_ratio","primary_ind_ratio","year","period"
"1002009","Newfoundland and Labrador","DIVISION NO. 2, SUBD. G","30","..",0.3333,0.1667,0.1667,0,0.5,NA,NA,NA,NA,NA,NA,1981,0
"1002011","Newfoundland and Labrador","LAWN","  999"," 9518",0.4874,0.3668,0.2462,0.2412,0.1558,0.8278,0,0.1919,0,0.1919,0.1186,1981,0
"1002012","Newfoundland and Labrador","LAMALINE","  548","11911",0.4495,0.2936,0.2018,0.2385,0.2752,0.6593,0,0.1364,0.0303,0.1667,0,1981,0
"1002013","Newfoundland and Labrador","LORD'S COVE","  384","12588",0.4487,0.3718,0.2179,0.2179,0.1923,0.875,0,0.1316,0,0.1316,0,1981,0
"1002014","Newfoundland and Labrador","POINT MAY","  427","12779",0.4767,0.3488,0.2326,0.2558,0.1512,0.8289,0.0465,0.093,0,0.1395,0.0741,1981,0
"1002015","Newfoundland and Labrador","POINT AU GAUL","140","  0",0.4815,0.3333,0.2593,0.2593,0.2222,1,0,0,0,0,0.2857,1981,0
"1002016","Newfoundland and Labrador","DIVISION NO. 2, SUBD. H","110","  0",0.4545,0.1818,0.1364,0.2727,0.2727,1,0,0.1333,0,0.1333,0.5,1981,0
"1002017","Newfoundland and Labrador","FRENCHMAN'S COVE","  295","15026",0.5085,0.3051,0.1864,0.3051,0.2373,0.7755,0.0541,0.1622,0,0.2162,0.2222,1981,0
"1002018","Newfoundland and Labrador","FORTUNE"," 2473","17220",0.4909,0.3212,0.1798,0.2869,0.202,0.7564,0.0108,0.1398,0.0287,0.1792,0.0546,1981,0
"1002019","Newfoundland and Labrador","GRAND BANK"," 3901","18842",0.5058,0.2855,0.1805,0.2753,0.2535,0.7622,0.0274,0.1116,0.0189,0.1579,0.0301,1981,0
"1002021","Newfoundland and Labrador","GARNISH","  761","15852",0.5,0.2763,0.1513,0.2434,0.3289,0.6197,0.0722,0.2371,0,0.3093,0.0377,1981,0
"1002022","Newfoundland and Labrador","DIVISION NO. 2, SUBD. D","  401","18761",0.4625,0.3125,0.175,0.275,0.2375,0.8077,0,0.1489,0,0.1489,0.0571,1981,0
"1002023","Newfoundland and Labrador","WINTERLAND","233","  0",0.5,0.3261,0.1739,0.3478,0.1957,0.6304,0,0.3103,0,0.3103,0,1981,0
"1002024","Newfoundland and Labrador","MARYSTOWN"," 6299","19437",0.4869,0.3542,0.2089,0.278,0.162,0.6213,0.0401,0.2329,0.043,0.316,0.0143,1981,0
"1002025","Newfoundland and Labrador","FOX COVE-MORTIER","  469","21734",0.4468,0.3298,0.1915,0.2553,0.2234,0.8687,0,0.0769,0,0.0769,0,1981,0
"1002026","Newfoundland and Labrador","DIVISION NO. 2, SUBD. I","  347"," 9020",0.4928,0.2464,0.2174,0.2319,0.3623,0.7818,0.0435,0.1087,0,0.1522,0.5625,1981,0
"1002027","Newfoundland and Labrador","BAY L'ARGENT","  483"," 7737",0.4896,0.3125,0.1875,0.2396,0.2292,0.8235,0,0.0755,0.0377,0.1132,0.1,1981,0
"1002028","Newfoundland and Labrador","ST. BERNARD'S","  696","17659",0.4748,0.4173,0.1942,0.2374,0.1655,0.8417,0.0299,0.2239,0.0448,0.2985,0.1316,1981,0
"1002029","Newfoundland and Labrador","DIVISION NO. 2, SUBD. J","0","..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,0
